Date,Open,High,Low,Close
1971-12-01,14086.800000000001,14086.800000000001,14086.800000000001,14086.800000000001
1971-12-02,14049.548387096773,14049.548387096773,14049.548387096773,14049.548387096773
1971-12-03,14042.222580645162,14042.222580645162,14042.222580645162,14042.222580645162
1971-12-06,14198.788387096773,14198.788387096773,14198.788387096773,14198.788387096773
1971-12-07,14103.568387096773,14103.568387096773,14103.568387096773,14103.568387096773
1971-12-08,14129.645161290324,14129.645161290324,14129.645161290324,14129.645161290324
1971-12-09,14161.827096774192,14161.827096774192,14161.827096774192,14161.827096774192
1971-12-10,14174.709677419354,14174.709677419354,14174.709677419354,14174.709677419354
1971-12-13,14254.822903225808,14254.822903225808,14254.822903225808,14254.822903225808
1971-12-14,14276.766451612903,14276.766451612903,14276.766451612903,14276.766451612903
1971-12-15,14261.854838709678,14261.854838709678,14261.854838709678,14261.854838709678
1971-12-16,14224.516129032258,14224.516129032258,14224.516129032258,14224.516129032258
1971-12-17,14271.52129032258,14271.52129032258,14271.52129032258,14271.52129032258
1971-12-21,14153.778709677421,14153.778709677421,14153.778709677421,14153.778709677421
1971-12-22,14183.359999999999,14183.359999999999,14183.359999999999,14183.359999999999
1971-12-23,14216.096451612902,14216.096451612902,14216.096451612902,14216.096451612902
1971-12-24,14255.626451612903,14255.626451612903,14255.626451612903,14255.626451612903
1971-12-27,14335.759999999998,14335.759999999998,14335.759999999998,14335.759999999998
1971-12-28,14368.520645161288,14368.520645161288,14368.520645161288,14368.520645161288
1971-12-29,14408.147419354838,14408.147419354838,14408.147419354838,14408.147419354838
1971-12-30,14429.490322580645,14429.490322580645,14429.490322580645,14429.490322580645
1971-12-31,14459.975161290324,14459.975161290324,14459.975161290324,14459.975161290324
1972-01-03,14524.187096774196,14524.187096774196,14524.187096774196,14524.187096774196
1972-01-04,14549.119999999999,14549.119999999999,14549.119999999999,14549.119999999999
1972-01-05,14564.814193548387,14564.814193548387,14564.814193548387,14564.814193548387
1972-01-06,14453.108387096772,14453.108387096772,14453.108387096772,14453.108387096772
1972-01-07,14495.967741935485,14495.967741935485,14495.967741935485,14495.967741935485
1972-01-10,14579.276129032258,14579.276129032258,14579.276129032258,14579.276129032258
1972-01-11,14668.503870967745,14668.503870967745,14668.503870967745,14668.503870967745
1972-01-12,14642.549677419356,14642.549677419356,14642.549677419356,14642.549677419356
1972-01-13,14685.693548387098,14685.693548387098,14685.693548387098,14685.693548387098
1972-01-14,14660.047741935483,14660.047741935483,14660.047741935483,14660.047741935483
1972-01-17,14738.969032258065,14738.969032258065,14738.969032258065,14738.969032258065
1972-01-18,14736.109677419354,14736.109677419354,14736.109677419354,14736.109677419354
1972-01-19,14751.580000000002,14751.580000000002,14751.580000000002,14751.580000000002
1972-01-20,14734.923870967741,14734.923870967741,14734.923870967741,14734.923870967741
1972-01-21,14768.767741935484,14768.767741935484,14768.767741935484,14768.767741935484
1972-01-24,14824.939354838709,14824.939354838709,14824.939354838709,14824.939354838709
1972-01-25,14826.538064516128,14826.538064516128,14826.538064516128,14826.538064516128
1972-01-26,14832.847741935482,14832.847741935482,14832.847741935482,14832.847741935482
1972-01-27,14783.814193548387,14783.814193548387,14783.814193548387,14783.814193548387
1972-01-28,14821.961290322579,14821.961290322579,14821.961290322579,14821.961290322579
1972-01-31,14886.843870967743,14886.843870967743,14886.843870967743,14886.843870967743
1972-02-01,14897.76,14897.76,14897.76,14897.76
1972-02-02,14810.400000000001,14810.400000000001,14810.400000000001,14810.400000000001
1972-02-03,14837.76,14837.76,14837.76,14837.76
1972-02-04,14814.72,14814.72,14814.72,14814.72
1972-02-07,14792.16,14792.16,14792.16,14792.16
1972-02-08,14769.119999999999,14769.119999999999,14769.119999999999,14769.119999999999
1972-02-09,14629.920000000002,14629.920000000002,14629.920000000002,14629.920000000002
1972-02-10,14625.119999999999,14625.119999999999,14625.119999999999,14625.119999999999
1972-02-11,14625.119999999999,14625.119999999999,14625.119999999999,14625.119999999999
1972-02-14,14603.04,14603.04,14603.04,14603.04
1972-02-15,14598.72,14598.72,14598.72,14598.72
1972-02-16,14589.599999999999,14589.599999999999,14589.599999999999,14589.599999999999
1972-02-17,14589.599999999999,14589.599999999999,14589.599999999999,14589.599999999999
1972-02-18,14567.52,14567.52,14567.52,14567.52
1972-02-22,14536.800000000001,14536.800000000001,14536.800000000001,14536.800000000001
1972-02-23,14519.04,14519.04,14519.04,14519.04
1972-02-24,14501.28,14501.28,14501.28,14501.28
1972-02-25,14519.04,14519.04,14519.04,14519.04
1972-02-28,14589.599999999999,14589.599999999999,14589.599999999999,14589.599999999999
1972-02-29,14563.199999999999,14563.199999999999,14563.199999999999,14563.199999999999
1972-03-01,14554.079999999998,14554.079999999998,14554.079999999998,14554.079999999998
1972-03-02,14555.215161290322,14555.215161290322,14555.215161290322,14555.215161290322
1972-03-03,14547.206451612903,14547.206451612903,14547.206451612903,14547.206451612903
1972-03-06,14580.830645161292,14580.830645161292,14580.830645161292,14580.830645161292
1972-03-07,14568.909677419357,14568.909677419357,14568.909677419357,14568.909677419357
1972-03-08,14565.158064516128,14565.158064516128,14565.158064516128,14565.158064516128
1972-03-09,14557.527741935484,14557.527741935484,14557.527741935484,14557.527741935484
1972-03-10,14580.297096774193,14580.297096774193,14580.297096774193,14580.297096774193
1972-03-13,14627.419354838712,14627.419354838712,14627.419354838712,14627.419354838712
1972-03-14,14632.81322580645,14632.81322580645,14632.81322580645,14632.81322580645
